,e_type,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,pop_growth,pop_density,Manuf_GDP,Agric_GDP,Deforestation,emission_per_cap,CO2_emission
1950,0,0.01,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0063969294738525,0.4
1951,1,0.0,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0,0.0
1952,2,0.0,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0,0.0
1953,3,0.01,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0063969294738525,0.4
1954,4,0.0,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0,0.0
1955,5,0.0,0.0,0.98,62.53,95.45,6.07,0.845,142.12,0.0246763999999999,0.0174538,101.0988,0.0,0.0
1956,0,1.88,2.01,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0032859029347272,107.37
1957,1,0.04,0.01,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0001150693399885,3.76
1958,2,0.74,0.65,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0013343146871016,43.6
1959,3,0.83,1.09,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0018362128721582,60.0
1960,4,0.08,0.08,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0,0.0
1961,5,0.19,0.19,405.45,32675.95,57.42,4.63,1.453,11.919,108.62005499999998,32.938758,352047.8016,0.0,0.0
1968,0,3.85,6.59,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.016412739384139,280.54
1969,1,1.58,4.39,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.0089587323800285,153.13
1970,2,0.65,0.78,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.001845219220702,31.54
1971,3,1.48,1.27,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.005608202742438,95.86
1972,4,0.0,0.0,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.0,0.0
1973,5,0.13,0.15,514.47,17092.82,224.95,7.47,1.48,2.221,70.9608471,21.5871612,1338794.421,0.0,0.0
1974,0,1.16,0.47,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0065507779618038,50.35
1975,1,0.12,0.03,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0016015904013863,12.31
1976,2,0.23,0.05,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0014454646108369,11.11
1977,3,0.45,0.05,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0035037229495804,26.93
1978,4,0.0,0.0,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0,0.0
1979,5,0.36,0.34,268.94,7686.11,150.71,4.31,0.762,92.975,52.6611414,8.3290718,37756.40179999999,0.0,0.0
1980,0,0.26,0.31,18.14,468.16,547.31,14.12,3.039,718.735,3.0335522,0.1721486,2.2011000000000003,0.0278323650034176,13.03
1981,1,0.0,0.0,18.14,468.16,547.31,14.12,3.039,718.735,3.0335522,0.1721486,2.2011000000000003,0.0,0.0
1982,2,0.21,0.21,18.14,468.16,547.31,14.12,3.039,718.735,3.0335522,0.1721486,2.2011000000000003,0.0220651059466848,10.33
1983,3,0.04,0.1,18.14,468.16,547.31,14.12,3.039,718.735,3.0335522,0.1721486,2.2011000000000003,0.0057672590567327,2.7
