Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,-1.246456623,-0.06387945,1.816829615,3.898738693,5.446051861,6.048669078,5.644930133,4.61015602,3.531109513,2.655185894,2.118993196,1.961614669,2.06484056,2.20516342,2.235514952,2.108323583,1.765472909,1.291950435,0.798578361,0.391971045,0.134262662,0.088751275,0.209731414,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948,
Africa Eastern and Southern,2.987171897,2.956404812,2.913058531,2.871078331,2.832013496,2.791294245,2.751373997,2.710420057,2.673851161,2.642958904,2.621264387,2.612969847,2.612275506,2.614605363,2.619585878,2.629364121,2.64581128,2.666015223,2.685749124,2.703187833,2.7200228,2.734577761,2.74740956,2.756619249,2.763425798,2.761495568,2.750400213,2.73259764,2.712217978,2.690901728,2.665619539,2.636666337,2.605427487,
Afghanistan,0.116007965,2.136295072,4.47695438,6.900124486,8.546107005,8.790896707,7.659795534,5.884278564,4.019477716,2.636501764,1.947343862,2.170428511,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093,
Africa Western and Central,2.754037944,2.737518337,2.718931855,2.699364096,2.683420419,2.675496448,2.677430134,2.685859559,2.697325182,2.706866803,2.71216021,2.711399671,2.70753222,2.701705488,2.699588557,2.706139259,2.723453484,2.746731093,2.770643398,2.788722003,2.798112308,2.796558411,2.787372535,2.775170989,2.763802508,2.753564154,2.745542205,2.738331566,2.730331791,2.719329942,2.704168038,2.684151739,2.660901631,
Angola,3.48243869,3.434478954,3.378411204,3.324464731,3.280272449,3.246643198,3.226227166,3.216807477,3.214262263,3.217312688,3.228921462,3.249266492,3.277215347,3.301173785,3.329262382,3.378794366,3.452987549,3.537604763,3.619584119,3.680601168,3.710554891,3.703841815,3.671493333,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352,
Albania,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,
Andorra,3.992764312,3.925274295,3.844901422,3.882690372,3.836105763,3.491210257,2.753105544,1.871458804,0.784574655,-0.069940398,-0.277133559,0.354842094,1.575272637,2.944447046,3.936690931,4.374143825,4.10952559,3.379619093,2.657381795,2.06144998,1.414681757,0.714114762,-0.008288192,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127,
Arab World,2.858267327,2.80736526,3.678351643,2.729938457,1.847008323,2.69875864,2.59406853,3.11993922,2.328512435,2.247571019,2.172631568,2.150241261,2.152845616,2.156238121,2.161010461,2.18847253,2.241337147,2.3071735,2.377079851,2.430739902,2.453954266,2.43302065,2.38321483,2.329382834,2.280225773,2.223478201,2.160504112,2.095506434,2.023741985,1.955221378,1.919966442,1.909788261,1.918912231,
United Arab Emirates,5.920996297,5.88392357,5.784264577,5.776096321,5.802706395,5.692129473,5.429052153,5.127893309,5.007767809,5.077012222,5.173952161,5.289641917,5.510750099,5.241545482,5.193151862,6.487373081,9.174108048,12.01992783,14.42466877,15.17725135,13.91010551,11.04459859,7.687222167,4.536241844,2.15417386,0.614086082,0.176775198,0.527292388,1.053270899,1.339470237,1.503937821,1.438677058,1.219428682,
Argentina,1.541803574,1.501814363,1.452964749,1.401455104,1.352157951,1.306053433,1.265333432,1.229233608,1.19362308,1.159504919,1.132215016,1.113380523,1.100608135,1.092033612,1.08355691,1.072004712,1.055389439,1.036268365,1.015454578,0.998884153,0.992570476,0.999542289,0.752217993,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,
